	E. coli Homolog Accession	E. coli Homolog Gene Name	E-Value
Q746H7	P23874	HIPA	1.5e-05
Q745T9	P37794	CHBG	1.1e-07
Q72HV1	P37794	CHBG	1.1e-07
Q72I73	P0AC84	GLO2	3e-10
Q72IY2	P24202	MRR	5.4e-10
Q72JZ1	P13518	CSRD	4.6e-08
Q72J08	P0AAT2	YBDF	0.00014
Q745X7	P23876	FEPD	3.4e-37
Q72K26	P76004	YCGM	6e-41
Q72J68	P76004	YCGM	6e-41
Q72LL2	P0AFS3	FOLM	1.0
Q72KR9	P76204	YDIV	0.00022
Q72H13	P76204	YDIV	0.00022
Q72JC5	Q46904	YGCN	8.7e-05
Q72KU2	Q46904	YGCN	8.7e-05
Q72IU6	P0ABM9	CCMH	5.2e-25
Q746I6	P24252	YBGA	7.8e-17
Q746C1	P24252	YBGA	7.8e-17
Q746E2	P24252	YBGA	7.8e-17
Q72HY5	P0A9N4	PFLA	4.5e-09
Q72KH4	P0A9N4	PFLA	4.5e-09
Q72GK7	P41442	GSPG	4e-07
Q72IB6	P41442	GSPG	4e-07
Q72IE3	P41442	GSPG	4e-07
Q72IC8	P0ACC1	PRMC	4e-06
Q72GY8	P00926	SDHD	0.00098
Q72I82	P46846	GNTX	6.9e-07
Q72HT0	P46846	GNTX	6.9e-07
Q72IZ0	P69488	CUTA	1.3e-28
Q72KP3	P69488	CUTA	1.3e-28
Q72JA5	P07654	PSTA	6.3e-05
Q72IG2	P07654	PSTA	6.3e-05
Q72GZ7	P0AFG3	ODO1	1.6e-238
Q72J34	P0A6W3	MRAY	2e-14
Q72HA8	P0A6W3	MRAY	2e-14
Q745U1	P0ADA3	NLPD	0.23
Q72GR2	P77561	YDEP	5.3e-07
Q72KI3	P45395	KDSD	2.9e-06
Q72KY7	P45395	KDSD	2.9e-06
Q745W1	P45395	KDSD	2.9e-06
Q72I95	P45395	KDSD	2.9e-06
Q72GG6	P45395	KDSD	2.9e-06
Q72JW7	P45395	KDSD	2.9e-06
Q72LA3	P36662	TORD	2.7e-06
Q72LD4	P36662	TORD	2.7e-06
Q72L72	P76503	FADI	1.1e-49
Q72IA5	P76503	FADI	1.1e-49
Q72GB3	P75681	AFUB	1e-06
Q72L01	P15005	MCRB	3.2e-06
Q72LE5	P15005	MCRB	3.2e-06
Q72J25	P0AEH1	RSEP	0.79
Q72I59	P21165	PEPQ	1.6e-06
Q72LF9	P0AEF8	DPPB	0.22
Q72LP3	P0AC65	NRDH	4.4e-06
Q72JY3	P52086	COBC	8.7e-06
Q72IY0	P16432	HYCF	0.23
Q72IF2	P76084	PAAI	8.5e-08
Q72JN0	P76084	PAAI	8.5e-08
Q72L20	P76084	PAAI	8.5e-08
Q72GY2	P25960	LEP4	0.097
Q745V8	P25960	LEP4	0.097
Q72K11	P76078	PAAB	3.9e-08
Q72I63	P76078	PAAB	3.9e-08
Q72HE3	P67697	HICB	1.1e-06
Q72IE4	P67697	HICB	1.1e-06
Q72HF8	P67697	HICB	1.1e-06
Q745Y4	P67697	HICB	1.1e-06
Q72GM4	P31992	PPTA	3.7e-05
Q72GE5	P75811	RCDA	5.8e-05
Q72JT4	P0A9K1	PHOH	7.6e-54
Q72J60	P37353	MENE	0.21
Q72KQ7	P0AEK0	EXOX	2.6e-16
Q72GX8	P0AEK0	EXOX	2.6e-16
Q72K50	P77488	DXS	2.7e-17
Q72GX0	P77488	DXS	2.7e-17
Q72L86	P06710	DPO3X	2e-05
Q72H25	P06710	DPO3X	2e-05
Q72KR3	P0ACI3	XYLR	1.4e-06
Q72IR0	P0A9E9	YEIL	1.4e-08
Q72H09	P0A9E9	YEIL	1.4e-08
Q72GT7	P06709	BIRA	4.9e-26
Q72J54	P0AC51	ZUR	1.4e-07
Q72HI8	P0AC51	ZUR	1.4e-07
Q72HJ0	P0AC51	ZUR	1.4e-07
Q72JC7	P0ADG1	ILVM	2.6e-07
Q72GB2	P0ADG1	ILVM	2.6e-07
Q72L65	P0ABU2	YCHF	7.6e-06
Q72G80	P24077	ENTS	1.5e-09
Q72GL8	P0AF63	NSRR	2.3e-05
Q72JI1	P0A953	FABB	5.3e-05
Q72G94	P0A953	FABB	5.3e-05
Q72KL1	P0AA49	YFDV	2.3e-11
Q72L80	P0AA49	YFDV	2.3e-11
Q72LK0	P0AA49	YFDV	2.3e-11
Q72J00	P0AA49	YFDV	2.3e-11
Q72HW5	P0AA49	YFDV	2.3e-11
Q72L17	P77718	THII	1.1e-05
Q72II2	P77718	THII	1.1e-05
Q72KD1	P71311	YAIS	3.7e-09
Q746I3	P31434	XYLS	2.1e-09
Q72KH0	Q47083	CBL	4.9e-07
Q72GJ8	P0AEC8	DCUS	3.4
Q72LK2	P0ACY1	YDJA	8.8e-08
Q72JB0	P0ACY1	YDJA	8.8e-08
Q72JM1	P36566	CMOM	3.3e-06
Q72HN9	P0AFU2	YFBS	1.4e-05
Q72IF3	P77044	MHPC	7.6e-06
Q72JD7	P77044	MHPC	7.6e-06
Q72KW3	P77044	MHPC	7.6e-06
Q72L46	P77495	PRPE	0.0031
Q72K72	P77495	PRPE	0.0031
Q72KU1	P16689	PHNM	0.00024
Q746I4	P09148	GAL7	4.8e-39
Q72IR1	P22787	YIFB	1.8e-06
Q72IT6	P76342	MSRP	2.5e-10
Q72JC6	P17109	MEND	1.9e-09
Q72H58	P0AF96	TABA	3.1e-05
Q72GI4	P28248	DCD	7.4e-17
Q746P1	P0AEA8	CYSG	0.39
Q72HF6	P39342	YJGR	0.00021
Q72GF3	P17888	PRIA	0.067
Q72LC2	P0C0U4	RIMK	2.8e-06
Q72IM4	P03819	KEFC	1.1e-15
Q72K82	Q47377	ARNE	2.2e-07
Q72KL3	P0AEA8	CYSG	2.6e-48
Q72LD6	P0AEI1	MIAB	2.8e-05
Q72IL8	P0AEI1	MIAB	2.8e-05
Q72KE1	P0ABG1	CDSA	1.3e-31
Q72H30	P75767	GNGF	3.1e-42
Q746E1	P75767	GNGF	3.1e-42
Q72KU9	P77499	SUFC	1.9e-07
Q72KQ3	P13458	SBCC	0.016
Q72J50	P0AEH1	RSEP	2.4e-08
Q72GM6	P0AA25	THIO	2.6e-06
Q72I66	P31826	YDDA	0.0035
Q72IS7	P31826	YDDA	0.0035
Q72I57	P76049	YCJY	2.3e-05
Q746M7	P76049	YCJY	2.3e-05
Q72L10	P60595	HIS5	7.9e-06
Q72IR7	P37353	MENE	7.7e-05
Q72J61	P37353	MENE	7.7e-05
Q72JJ6	P21829	YBHA	0.0021
Q746J6	P21829	YBHA	0.0021
Q72II1	P0A7D7	PUR7	7.8e-57
Q72L33	P37906	PUUB	1e-08
Q72LI0	P11454	ENTF	0.64
Q72LL1	Q7DFV4	YMDE	3.2e-06
Q72GX6	P25744	MDTG	4.8e-09
Q72GB8	P00452	RIR1	3.1e-10
Q72KC6	P00452	RIR1	3.1e-10
Q72KK9	P76198	YDIN	0.00074
Q746P2	P0AEA8	CYSG	0.36
Q746C3	P38036	CAS3	8.1e-06
Q72KD5	P0A776	RPPH	0.00014
Q746I7	P0A776	RPPH	0.00014
Q72HL5	Q46787	YGEG	9.8e-06
Q72K07	P0A698	UVRA	0.32
Q72IS5	P36655	DSBD	0.16
Q72LM7	P36655	DSBD	0.16
Q72LH5	P45759	GSPE	0.00099
Q72GD9	P16429	HYCC	4.2e-18
Q72JA9	P0AEK4	FABI	3.2e-05
Q72KF9	P0ABB8	ATMA	2e-12
Q72J20	P76342	MSRP	3.6e-06
Q72LK7	P76121	YDDH	4.7e-09
Q72GX9	P0ADA3	NLPD	7.2e-06
Q72JX4	P09835	UHPB	1.4
Q72JI3	P68644	FIXC	0.00077
Q72KH2	P77499	SUFC	1.3
Q72HU5	P71243	WCAL	0.097
Q72IV6	P0ABU2	YCHF	1.9e-05
Q72L30	P0ADY1	PPID	2.6e-08
Q72H03	P0AED0	USPA	2e-05
Q72L79	P27305	GLUQ	2.1e-05
Q746N0	P0AE76	COBU	4.1e-30
Q72GS0	P0AB67	PNTB	8.6e-110
Q746P7	P36562	COBT	4e-66
Q72J24	P77398	ARNA	6.4e-06
Q72KT1	P26646	ACUI	3.5e-05
Q72KQ6	P39453	TORS	2.8
Q72G85	P00804	LSPA	1.3e-13
Q72KB2	P0AAI5	FABF	6.4e-05
Q72IA3	P0ACZ4	EVGA	0.00044
Q72JP4	P0A9A6	FTSZ	3.5e-92
Q72KM6	P0AEC0	YOAE	6.8e-29
Q72HE4	P0AD03	YEBS	8.4e-06
Q72IK0	P60651	SPEB	1.6e-16
Q72GF8	P24554	RADA	0.024
Q72JD8	P24554	RADA	0.024
Q72JI4	P24554	RADA	0.024
Q746J5	P24554	RADA	0.024
Q72IS6	P24554	RADA	0.024
Q72J81	P77212	RCLA	0.025
Q72HC7	P77212	RCLA	0.025
Q72LF8	P31826	YDDA	0.021
Q72GM3	P21888	SYC	0.0033
Q72K24	P21888	SYC	0.0033
Q72L12	Q47690	MMUM	8.9e-15
Q72JZ0	P45563	XAPA	0.034
Q72H76	P0AGG0	THIL	3.2e-06
Q72KS2	P31826	YDDA	1.4e-10
Q72IT9	P0A7G6	RECA	0.01
Q72IM6	P0ACB0	DNAB	1.9e-127
Q72H84	P0AD61	KPYK1	2e-120
Q72KX2	P0AEX9	MALE	3.1e-06
Q72J82	P15977	MALQ	0.005
Q72J51	P24554	RADA	1.1e-05
Q72GH2	P0ADH7	FIME	0.00025
Q72HU7	P26281	HPPK	7.5e-34
Q72HZ5	P26281	HPPK	7.5e-34
Q72KW8	P31572	CAIB	2.7e-11
Q72K93	P0AF98	LPTF	1.1e-05
Q72L89	P0AF98	LPTF	1.1e-05
Q72IZ4	P0AEC3	ARCB	0.00025
Q72G70	P76639	YGEH	0.00072
Q72KD2	P76639	YGEH	0.00072
Q72LE4	P00562	AK2H	3.6e-11
Q72LH2	P45545	YHFS	1.4e-07
Q72LA9	P33195	GCSP	2.3e-59
Q72KG2	P0A968	CSPD	4.7e-05
Q745Z3	P00452	RIR1	4.5e-08
Q72J56	P0AG76	SBCD	3e-16
Q72IY4	P0AEL8	FIMZ	0.00031
Q72KG4	P0AFF6	NUSA	2.1e-76
Q72J89	P0AFF6	NUSA	2.1e-76
Q72LI8	P31826	YDDA	4.5
Q72I26	P15034	AMPP	1.2e-14
Q72KM5	P0ABF6	CDD	2.5e-08
Q72L45	P13458	SBCC	0.0005
Q72HZ8	P29745	PEPT	2e-05
Q72K45	P31826	YDDA	0.059
Q72IH6	P46846	GNTX	5.8e-05
Q72LA5	P52647	NIFJ	0.066
Q72JR5	P21165	PEPQ	2.9e-08
Q72LH6	P31826	YDDA	7.6
Q72HR0	P75675	YKFJ	3e-08
Q72JK4	P75675	YKFJ	3e-08
Q72IA2	P75675	YKFJ	3e-08
Q72IW7	P75675	YKFJ	3e-08
Q72G76	P75675	YKFJ	3e-08
Q72K94	P23893	GSA	4.9e-50
Q72JR9	P68398	TADA	4.2e-16
Q72J05	P16679	PHNL	5.8e-06
Q746L6	P75821	YBJS	7.3e-05
Q72HY3	P75821	YBJS	7.3e-05
Q72J32	P24077	ENTS	2.7e-12
Q72HN8	P0A951	ATDA	5.3e-06
Q746L9	P0AFS3	FOLM	2.9
Q746L2	P0AFK4	POTB	1.5e-05
Q72HH6	P0AFK4	POTB	1.5e-05
Q72L90	P0C0U4	RIMK	6.4e-07
Q72J11	P31826	YDDA	0.0086
Q72JV3	P0ADH7	FIME	0.00033
Q72JZ3	P41036	NANT	0.022
Q72IP3	P77536	YKGF	0.0023
Q72H63	Q46909	YGCS	1.2e-05
Q72HX7	P0AG20	RELA	1.2e-136
Q72J31	P45395	KDSD	1.1e-05
Q72JG5	P0AGC5	MLTF	3.2e-11
Q72L26	P77455	PAAZ	9.9e-25
Q72K32	P75913	GHRA	1.1e-21
Q72LI1	P0A9M0	LON	0.33
Q72JW8	P37624	RBBA	5.4e-05
Q746K1	P37624	RBBA	5.4e-05
Q746I1	P60584	CAIA	3.7e-10
Q72HN4	P31435	YICJ	3.2e-05
Q72JI8	P77775	YFCH	3.5e-06
Q746N4	P77775	YFCH	3.5e-06
Q72LL9	P32684	RLUF	5e-05
Q72KE6	P28638	YHDJ	4e-05
Q72L25	Q47146	FADE	7.8e-26
Q72KT2	P33224	AIDB	2.7e-13
Q72IN3	P75718	REND	0.00012
Q72J03	P0ABH7	CISY	1.8e-65
Q72GK4	P0AFA5	NFRB	7.1e-08
Q72HK4	P52126	YFJK	2.7
Q72GQ2	P0AC16	FOLB	2.4e-08
Q72J12	P76556	EUTP	0.0015
Q746P8	P36561	COBS	2.8e-18
Q72HX4	P21829	YBHA	0.053
Q72IJ6	P32670	PTFX2	0.00081
Q72KD3	P0A9Q7	ADHE	9e-06
Q72I55	P00861	DCDA	3.8e-11
Q72KH9	P0AEH1	RSEP	0.003
Q72HF2	P0AB83	END3	4.6e-14
Q72JB4	P00954	SYW	2.5e-70
Q72GV4	P07109	HISP	3.4e-05
Q72H24	P0ABJ3	CYOC	1.8e-19
Q72GH8	P28305	PABC	1.7e-16
Q72J83	P0ABS5	DNAG	3e-68
Q72JJ3	Q47146	FADE	2.5e-10
Q72HU3	Q47146	FADE	2.5e-10
Q72JK3	P0ABJ1	CYOA	1.1e-06
Q72GF0	P39362	SGCE	3.6e-34
Q72K19	P37772	YJFF	3.8e-06
Q72GZ6	P06959	ODP2	9.2e-12
Q72G79	Q46857	DKGA	8.8e-06
Q72KM1	Q46857	DKGA	8.8e-06
Q72JV0	P0ADD7	YJJQ	6.7
Q72LL4	Q46939	YQEF	1.4e-06
Q72L69	P12758	UDP	4.1e-05
Q72LI6	P42596	RLMG	5.2e-05
Q72KJ4	P36646	HOFC	9.6e-51
Q72KC2	P77549	YFCJ	0.00053
Q72GH6	P77549	YFCJ	0.00053
Q72H73	P0AFA5	NFRB	9e-10
Q72KB4	P21507	SRMB	3.2e-06
Q72GB4	P77499	SUFC	1.2e-06
Q72KE3	P0AC88	GM4D	6.9e-05
Q72JA3	P31826	YDDA	0.0055
Q72LB8	P0AGM5	SIRB1	1.8e-05
Q72LM3	Q46802	UACR	2.1e-05
Q72JS1	P0A7J0	RIBB	1.1e-62
Q746J3	P11290	YIBD	5.5e-07
Q72JD3	P31826	YDDA	2.3e-06
Q72IU8	P31826	YDDA	2.3e-06
Q72JX0	P24230	RECG	1.4
Q72KL0	P0AEK4	FABI	4.4e-06
Q72GJ6	P40711	ARFB	4.5e-05
Q72JP5	P76551	EUTA	3.4e-06
Q72K22	P0AC81	LGUL	0.00016
Q72LN2	P33368	YOHF	4.8e-05
Q72JC1	P33368	YOHF	4.8e-05
Q72IT0	P08331	CPDB	0.00014
Q72KA7	P08331	CPDB	0.00014
Q72ID2	P76463	YFAQ	1.3e-05
Q72IC9	P76463	YFAQ	1.3e-05
Q72JI7	P77766	RNAAM	5.7e-05
Q72K92	P77766	RNAAM	5.7e-05
Q72IK4	P15005	MCRB	8e-05
Q72KX8	P46853	YHHX	2e-06
Q746E7	P46853	YHHX	2e-06
Q72IW1	P07639	AROB	1.1e-54
Q72HC0	P33224	AIDB	4.8e-18
Q72K30	P33224	AIDB	4.8e-18
Q72GU5	P42593	FADH	0.00052
Q72KI4	P42593	FADH	0.00052
Q72H29	P42593	FADH	0.00052
Q72I78	P52062	HEMW	3.6e-05
Q72GK3	P36646	HOFC	5.1e-44
Q72IM5	P0AEZ7	MLTD	1.5e-07
Q72IK2	P08312	SYFA	1.7e-05
Q72LJ4	P08312	SYFA	1.7e-05
Q745X1	P08365	CHPS	3.8e-06
Q72KK7	P52119	RATB	1.4e-05
Q72KG9	P52119	RATB	1.4e-05
Q72IZ1	P0AFI2	PARC	1.2e-133
Q72LC9	P37330	MASZ	1.2e-05
Q72JY5	P39453	TORS	6.6
Q72GW9	P37095	PEPB	1.9e-61
Q72J04	P0A9S7	LIVG	1.4
Q72LF7	P31826	YDDA	0.075
Q72KQ4	P31826	YDDA	0.00026
Q72GQ4	P0AAB8	USPD	2.3e-06
Q72G78	P0AAB8	USPD	2.3e-06
Q72JA2	P0ABG4	FTSW	2.3e-48
Q72LD8	P0ABG4	FTSW	2.3e-48
Q72HD2	P0ABG4	FTSW	2.3e-48
Q72I43	P0ABG4	FTSW	2.3e-48
Q72KN1	P0ABG4	FTSW	2.3e-48
Q746D8	P0ABG4	FTSW	2.3e-48
Q746P5	P0ABG4	FTSW	2.3e-48
Q72GX2	P0ABG4	FTSW	2.3e-48
Q72IW8	P0ABH0	FTSA	4.5e-06
Q72G96	P0AE01	TRMJ	0.15
Q72HN0	P31550	THIB	7.4e-40
Q72HV8	P0ACD4	ISCU	6e-18
Q72J52	P0AEA8	CYSG	3.2e-06
Q72HJ2	P0AAI3	FTSH	1.7e-06
Q72L84	P0AAI3	FTSH	1.7e-06
Q72L04	P0AEX7	LIVH	0.0001
Q72IB5	P0AEA2	CSGG	0.12
Q72JW9	P75958	LOLE	0.46
Q72GN0	P30958	MFD	8e-06
Q72LG4	P30958	MFD	8e-06
Q72JZ5	P76503	FADI	2.7e-66
Q72GH4	P33650	FEOB	9.1e-06
Q72HX1	P07363	CHEA	1.9
Q72IL7	P07363	CHEA	1.9
Q72KN5	P07363	CHEA	1.9
Q72I62	P75799	GSID	1.5
Q72JH8	P37675	YIAN	5.2e-15
Q72GS7	P37675	YIAN	5.2e-15
Q72J58	P37675	YIAN	5.2e-15
Q72L99	P32664	NUDC	3.9e-05
Q72HT6	P32664	NUDC	3.9e-05
Q72HB7	P0A8H3	ZUPT	4.9e-28
Q746B4	P60844	AQPZ	0.00014
Q746C6	P60844	AQPZ	0.00014
Q72HC5	P60844	AQPZ	0.00014
Q72IF7	P37906	PUUB	1.4
Q72H01	P37906	PUUB	1.4
Q72L35	P37906	PUUB	1.4
Q745T5	P06864	BGA2	1.2e-09
Q72K89	P06864	BGA2	1.2e-09
Q72JH0	P06864	BGA2	1.2e-09
Q72KC3	P06864	BGA2	1.2e-09
Q72JF0	P33650	FEOB	3.6e-07
Q72JF5	P09835	UHPB	5e-21
Q746K7	P75736	YBFF	0.011
Q72HB2	P0A8W0	NANR	2.1e-05
Q72JX1	P77338	MSCK	0.00021
Q72KQ1	P77315	YPHD	1.3e-06
Q746N1	P06986	HIS8	7.8e-19
Q72KM3	P06986	HIS8	7.8e-19
Q72I61	P23843	OPPA	7.9e-05
Q72JI6	P23843	OPPA	7.9e-05
Q72JF7	P77739	KT3K	1.3e-26
Q72LI7	P77739	KT3K	1.3e-26
Q72GY5	P75874	YCCU	2.1e-05
Q72HV9	P00935	METB	2.2e-07
Q745X8	P29018	CYDD	9.5e-08
Q72K69	P0ACY3	YEAG	1.4e-55
Q72JX8	P0ACY3	YEAG	1.4e-55
Q746M2	P37676	YIAO	1.1e-24
Q72GF7	P37676	YIAO	1.1e-24
Q72KQ5	P0AFS3	FOLM	7.5e-09
Q746D0	P0AFS3	FOLM	7.5e-09
Q72KM9	P0AFS3	FOLM	7.5e-09
Q72L42	P04816	LIVK	9.2e-18
Q746D9	P04816	LIVK	9.2e-18
Q72KX6	P04816	LIVK	9.2e-18
Q72JQ4	P14900	MURD	4.8e-09
Q72GG4	P76491	5DNU	3.5e-08
Q72GE9	P76491	5DNU	3.5e-08
Q72K68	P0AC84	GLO2	2.1e-05
Q72IK3	P31441	ADEC	0.0014
Q72LM8	P0ADC6	LPTG	1.7e-08
Q72KA8	P39177	USPG	1.1e-05
Q72IV4	P76423	THIM	2.4e-08
Q72HJ4	P38051	MENF	8e-25
Q72JJ0	P38051	MENF	8e-25
Q72HG7	P38051	MENF	8e-25
Q72JI9	P0ABD5	ACCA	8.9e-12
Q72JE8	P23830	PSS	0.0015
Q72L78	P21177	FADB	3.5e-19
Q72GQ7	P37675	YIAN	2.7e-16
Q72JX6	P0AB85	APBE	2.9e-12
Q72I80	P0AB85	APBE	2.9e-12
Q72HN5	P0AB85	APBE	2.9e-12
Q72IZ7	P0A6Y1	IHFB	3.6e-18
Q72GC8	P0AFC3	NUOA	1.3e-17
Q72LL0	P0A6R0	FABH	2.3e-73
Q72JL0	P0AGM9	XANP	0.25
Q72IN7	P15067	GLGX	6.3e-05
Q72KV7	P77690	ARNB	4.1e-06
Q72L40	P77690	ARNB	4.1e-06
Q72J97	P27253	SCPA	9.5e-162
Q72GC5	P27253	SCPA	9.5e-162
Q746K0	P24197	YGID	2.8e-05
Q72LJ3	P24197	YGID	2.8e-05
Q72GN7	P0A982	CSPH	4.4e-06
Q746L5	P67699	YDDM	7.8e-05
Q72J44	P39328	YTFT	1.6e-08
Q72JN1	P07395	SYFB	1.5e-05
Q72K61	P07395	SYFB	1.5e-05
Q72IP1	P07395	SYFB	1.5e-05
Q72KX1	P39187	YTFJ	0.0001
Q72GX3	P0AFR9	YDCV	1e-05
Q72GC2	P0AFR9	YDCV	1e-05
Q72LD9	P0AFR9	YDCV	1e-05
Q72H59	P0A7V8	RS4	6.5e-05
Q72JP8	P11880	MURF	0.0019
Q72IM7	P0AA89	DOSC	2e-06
Q72LB5	P76558	MAO2	1.7e-13
Q72GR7	P39314	YTFF	5.1e-05
Q72IZ8	P26647	PLSC	3.2e-16
Q72IF5	P26647	PLSC	3.2e-16
Q72I56	P26647	PLSC	3.2e-16
Q72KR8	P0A8X2	YCEI	3.3e-27
Q72KX4	P75681	AFUB	1.4e-05
Q72LL8	P28638	YHDJ	5.4e-16
Q72GA3	P28638	YHDJ	5.4e-16
Q72KI6	P29013	YCGB	2.7e-45
Q72JK1	P29013	YCGB	2.7e-45
Q72KL2	P21156	CYSD	5.7e-10
Q72KG0	P77295	YGAV	5.9e-13
Q72GN5	P0A6B7	ISCS	1.5e-08
Q72LH9	P39328	YTFT	6.7e-05
Q72JD4	P39328	YTFT	6.7e-05
Q72GK9	P41443	GSPH	8.4e-06
Q72IY3	P77510	DPIB	6.4e-08
Q72IM2	P09391	GLPG	4.6e-07
Q72GH3	P0ACC7	GLMU	0.46
Q72HT8	P0ACC7	GLMU	0.46
Q746P9	P0ABS1	DKSA	1.6e-06
Q72GU7	P76630	YGAZ	3.3e-31
Q745Z5	P0A8Z0	YCIA	3.6e-21
Q72IM9	P0A8Z0	YCIA	3.6e-21
Q746M4	P0A6C1	END4	5.9e-05
Q72JP2	P0A6C1	END4	5.9e-05
Q72GZ5	P37747	GLF	0.0002
Q72GA0	P0A9W0	ULAR	5.3e-06
Q745T4	P02920	LACY	3e-08
Q72K71	P02920	LACY	3e-08
Q72KB1	P33224	AIDB	1.3e-17
Q72J41	P77650	HCAD	0.039
Q745S7	P77650	HCAD	0.039
Q745U2	P77650	HCAD	0.039
Q72H80	P77650	HCAD	0.039
Q72HT5	P77650	HCAD	0.039
Q72IX2	P77650	HCAD	0.039
Q72KJ7	P71311	YAIS	1.8e-06
Q72HT9	P23842	PDEA	1.8e-05
Q72LM4	P23842	PDEA	1.8e-05
Q72LA6	P23842	PDEA	1.8e-05
Q72GY3	P23842	PDEA	1.8e-05
Q72I64	P75798	GSIC	2.3
Q72KL5	P0ADV5	YHBW	1.8e-16
Q72IF9	P0A9P0	DLDH	0.00014
Q745V2	P0A9P0	DLDH	0.00014
Q72KB9	P11290	YIBD	5.6e-07
Q746B6	P11290	YIBD	5.6e-07
Q72HC9	P37642	YHJD	1.2e-07
Q72K25	P0A9Q7	ADHE	1.3e-08
Q72JJ1	Q46907	YGCQ	2.3e-18
Q72L66	P0AFY2	SANA	1.5e-09
Q72GM8	P0AFY2	SANA	1.5e-09
Q72HI3	P0AFY2	SANA	1.5e-09
Q72LG2	P37750	WBBJ	2.7e-05
Q72G63	P37750	WBBJ	2.7e-05
Q746N3	P37750	WBBJ	2.7e-05
Q72GD2	P69330	CITD	1.3e-05
Q72K01	P0A8W2	SLYA	3.6e-06
Q72L94	P36566	CMOM	0.0001
Q72KA2	P26365	AMIB	4.6e-08
Q72L27	P10121	FTSY	0.00019
Q72J38	P10121	FTSY	0.00019
Q72HP7	P10121	FTSY	0.00019
Q72K33	P10121	FTSY	0.00019
Q745X0	P10121	FTSY	0.00019
Q72K78	P10121	FTSY	0.00019
Q72GS5	P10121	FTSY	0.00019
Q746E4	P10121	FTSY	0.00019
Q72II4	P27249	GLND	9.9e-06
Q72GM0	P0AB01	ELYC	1.5e-06
Q72L71	P0AB01	ELYC	1.5e-06
Q746I5	P0AB01	ELYC	1.5e-06
Q72HM8	P0AB01	ELYC	1.5e-06
Q72IX0	P0AB01	ELYC	1.5e-06
Q72IN9	P0AB01	ELYC	1.5e-06
Q72KR0	P0AC84	GLO2	0.00051
Q72I86	P0AC84	GLO2	0.00051
Q72IY6	P0AC84	GLO2	0.00051
Q72H20	P0AGM9	XANP	2e-21
Q745T2	P0AGM9	XANP	2e-21
Q72HW0	P0AGM9	XANP	2e-21
Q72IT1	P0AGM9	XANP	2e-21
Q72K42	P0AGM9	XANP	2e-21
Q72G98	P69681	AMTB	4.6e-105
Q72L82	P69681	AMTB	4.6e-105
Q72HZ7	P16659	SYP	1.2e-06
Q72JM5	P16659	SYP	1.2e-06
Q72IR9	P0A6F9	CH10	9.4e-06
Q72K14	P23883	PUUC	1e-13
Q72KH7	P23883	PUUC	1e-13
Q72HZ6	P23883	PUUC	1e-13
Q72LF6	P0ADG7	IMDH	1.4e-10
Q72HY2	P0ADG7	IMDH	1.4e-10
Q72IJ2	P03030	LYSR	0.00035
Q72HL6	P64636	YRFG	0.16
Q72GP4	P64636	YRFG	0.16
Q72IJ5	P67153	YQFA	2e-32
Q72G60	P52062	HEMW	0.00038
Q72LN0	P52062	HEMW	0.00038
Q746N5	P17117	NFSA	1.2e-06
Q72J18	P17117	NFSA	1.2e-06
Q72JU0	P75757	ZITB	1.4e-29
Q72HJ1	P75757	ZITB	1.4e-29
Q72I75	P0C054	IBPA	4.3e-10
Q72GT3	P37619	QPTR	7.6e-14
Q746N2	P37619	QPTR	7.6e-14
Q72HT7	P00393	NDH	3.7e-10
Q72IV7	P26647	PLSC	8.2e-13
Q72J28	P26647	PLSC	8.2e-13
Q72LN6	Q46820	UACF	0.27
Q72HA4	P00893	ILVI	9.5e-06
Q72HX9	P39285	MSCM	6.1e-15
Q72JY9	P77302	DGCM	1.8e-07
Q72L98	P77302	DGCM	1.8e-07
Q746L0	P75849	GLO22	1.8e-08
Q72KV8	P37348	YECE	2.5e-11
Q72GS6	P37348	YECE	2.5e-11
Q746L8	P37672	DLGD	3.5e-33
Q72HY1	P24181	ACRF	7.8e-05
Q72II8	P24181	ACRF	7.8e-05
Q72HF0	P24181	ACRF	7.8e-05
Q72GA5	P24181	ACRF	7.8e-05
Q72K84	P76007	NHAP2	1.5e-82
Q72HB5	P76007	NHAP2	1.5e-82
Q72LB9	P0AAX6	MCBA	8.2e-06
Q72HD7	P0AAX6	MCBA	8.2e-06
Q72LQ6	P07001	PNTA	2.9e-05
Q72GU4	P0AFG6	ODO2	3.9e-12
Q72K13	P76080	PAAD	1.1e-35
Q72LP9	P02916	MALF	0.068
Q72KX3	P0AFK6	POTC	0.037
Q72J85	P0AFK6	POTC	0.037
Q72KJ3	P0AFK6	POTC	0.037
Q72L88	P0AFK6	POTC	0.037
Q745X5	P0AFK6	POTC	0.037
Q72IE7	P0ABP8	DEOD	1.6e-06
Q72JN6	P31826	YDDA	0.11
Q72H39	P0AEZ1	METF	7e-57
Q72IM1	P08395	SPPA	6.5e-05
Q72HL8	P0ADE8	YGFZ	3.5e-05
Q746K6	P37747	GLF	7.6e-05
Q72GI9	P0A776	RPPH	9.6e-05
Q72HQ5	P0A776	RPPH	9.6e-05
Q72KT0	Q46890	OTNC	0.00017
Q746Q0	P0A9H5	BTUR	3.4e-50
Q72GL3	P0A9H5	BTUR	3.4e-50
Q72GK0	P00957	SYA	9.1e-23
Q72IU5	P0AE52	BCP	2.5e-06
